iter	Passed	Remaining
266	823	2261
267	825	2254
268	827	2248
269	830	2244
270	832	2238
271	833	2231
272	835	2225
273	837	2218
274	838	2211
275	840	2205
276	846	2209
277	848	2203
278	850	2198
279	853	2194
280	855	2188
281	860	2190
282	862	2184
283	864	2178
284	868	2177
285	870	2171
286	879	2184
287	881	2178
288	886	2181
289	890	2180
290	893	2177
291	895	2170
292	896	2164
293	900	2161
294	902	2155
295	907	2157
296	911	2157
297	917	2160
298	922	2163
299	925	2159
300	928	2157
301	931	2151
302	935	2151
303	939	2150
304	941	2144
305	942	2138
306	945	2133
307	947	2128
308	956	2137
309	959	2135
310	962	2132
311	966	2131
312	971	2132
313	974	2128
314	976	2124
315	982	2127
316	985	2123
317	987	2116
318	989	2111
319	991	2105
320	998	2112
321	1000	2106
322	1002	2100
323	1004	2095
324	1006	2089
325	1008	2084
326	1013	2085
327	1015	2080
328	1017	2074
329	1018	2067
330	1020	2061
331	1021	2055
332	1025	2053
333	1031	2057
334	1033	2051
335	1037	2049
336	1043	2053
337	1047	2051
338	1049	2045
339	1050	2040
340	1053	2035
341	1060	2039
342	1062	2034
343	1066	2034
344	1068	2028
345	1077	2036
346	1079	2031
347	1081	2027
348	1084	2022
349	1087	2020
350	1090	2015
351	1092	2011
352	1095	2007
353	1099	2005
354	1111	2020
355	1114	2015
356	1116	2011
357	1120	2008
358	1128	2014
359	1131	2010
360	1139	2016
361	1145	2019
362	1159	2034
363	1161	2029
364	1169	2034
365	1172	2030
366	1174	2025
367	1176	2020
368	1180	2019
369	1183	2014
370	1185	2009
371	1199	2024
372	1201	2018
373	1204	2015
374	1206	2010
375	1213	2014
376	1216	2009
377	1218	2004
378	1220	1999
379	1227	2003
380	1230	1999
381	1232	1994
382	1234	1988
383	1236	1983
384	1243	1986
385	1249	1987
386	1251	1983
387	1253	1977
388	1260	1979
389	1263	1975
390	1268	1975
391	1271	1972
392	1276	1971
393	1279	1967
394	1281	1962
395	1283	1958
396	1292	1962
397	1294	1958
398	1297	1953
399	1299	1948
400	1309	1956
401	1324	1969
402	1341	1987
403	1343	1981
404	1357	1994
405	1359	1988
406	1366	1991
407	1369	1987
408	1371	1982
409	1378	1982
410	1381	1979
411	1382	1973
412	1386	1970
413	1387	1964
414	1391	1962
415	1395	1958
416	1398	1955
417	1401	1951
418	1406	1949
419	1412	1950
420	1413	1944
421	1415	1939
422	1426	1945
423	1428	1941
424	1430	1935
425	1432	1930
426	1435	1926
427	1441	1925
428	1444	1922
429	1446	1917
430	1449	1913
431	1452	1909
432	1456	1907
433	1458	1901
434	1460	1896
435	1462	1891
436	1464	1886
437	1469	1885
